Disease,Symptoms,Precaution,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,low_mood ,Engage in regular physical activity like walking or yoga to boost endorphins.,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,loss_of_interest,"Schedule small enjoyable activities daily, even if you don’t feel like it.",,,,,,,,,,,,,,,,,,,,,,,,,
Depression,low_energy,Maintain a consistent sleep routine and eat a balanced diet.,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,sleep_disturbance,Create a calming bedtime routine and avoid caffeine/screen time before sleep.,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,changes_in_weight,Stick to a regular meal schedule and avoid emotional eating or skipping meals.,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,difficulty_concentrating,Break tasks into small steps and use checklists or reminders.,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,feeling_of_worthless,Practice self-compassion and seek cognitive therapy or journaling exercises.,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,irritability,Use relaxation techniques like deep breathing or mindfulness meditation.,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,thought_of_death,Talk to a trusted person or mental health professional immediately.,,,,,,,,,,,,,,,,,,,,,,,,,
Depression,physical_aches_and_pain ,Engage in light physical activity and consult a doctor to rule out other causes.,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,excessive_worry ,Practice cognitive reframing and mindfulness to redirect anxious thoughts,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,restlessness,"Engage in calming activities like yoga, deep breathing, or guided meditation.",,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,irritability,Maintain a regular routine and get adequate sleep to reduce stress overload.,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,muscle_tesnion,"Perform light stretching, progressive muscle relaxation, or massage therapy.",,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,trouble_concentrating,Break tasks into small steps and use focused breathing before work sessions.,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,sleep_disturbance,"Avoid caffeine before bed and create a relaxing, screen-free bedtime routine.",,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,fatigue,Take short breaks during the day and ensure 7–9 hours of quality sleep.,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,rapid_heartbeat,"Use slow, deep breathing or grounding techniques to calm the nervous system.",,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,shortness_of_breath,Practice diaphragmatic breathing or box breathing to regulate breath.,,,,,,,,,,,,,,,,,,,,,,,,,
Anxiety,sweating,"Stay hydrated, wear breathable clothing, and practice calming techniques.",,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,sudden_intense_fear,Practice grounding techniques and controlled breathing to calm the body.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,rapid_heartbeat,Use deep breathing exercises or mindfulness to regulate heart rate.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,shortness_of_breath,Practice diaphragmatic breathing to improve breath control.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,chest_pain,Consult a healthcare provider and learn relaxation strategies to reduce tension.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,sweating,Keep your body cool and practice stress-reduction techniques.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,trembling,Do progressive muscle relaxation or light stretching to ease muscle tension.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,dizziness,Sit or lie down and focus on slow breathing until balance returns.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,nausea,Avoid heavy meals before anxiety-prone situations and stay hydrated.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,hot_flashes,Wear breathable clothing and regulate room temperature.,,,,,,,,,,,,,,,,,,,,,,,,,
Panic Disorder,fear_of_losing,Seek therapy to develop cognitive coping strategies.,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,sadness,Maintain a regular routine and attend therapy consistently.,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,loss_of_pleasure,"Engage in previously enjoyed activities in small, manageable steps.",,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,fatigue,Get consistent sleep and avoid overstimulation during manic episodes.,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,sleep_disturbance,Set a fixed sleep schedule and avoid caffeine or screens before bed.,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,feeling_of_guilt,Challenge negative thoughts with evidence-based thinking in therapy.,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,irritable_mood,Practice mood tracking and calming techniques like deep breathing.,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,increased_activity,"Channel excess energy into structured, creative outlets.",,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,decreased_need_for_sleep,Prioritize rest and reduce stimulating evening activities.,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,rapid_speech,Use grounding methods and communicate with trusted individuals.,,,,,,,,,,,,,,,,,,,,,,,,,
Bipolar Disorder,impulsivity,Pause and evaluate consequences using self-regulation strategies.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,hallucination,Avoid substance abuse and seek psychiatric support promptly.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,delusion,Stay in regular contact with a mental health professional and follow medications.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,disorganized_thinking,Engage in cognitive behavioral therapy to improve thought organization.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,unpredictable_behavior,Maintain a stable daily routine and medication adherence.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,abnormal_behavior,Avoid overstimulating environments and seek behavioral therapy.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,flact_affect,Practice social skills training and engage in meaningful activities.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,social_withdrawl,Join peer support groups and schedule regular interaction.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,lack_of_motivation,"Set small, achievable goals and use positive reinforcement.",,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,negelct_of_personal_hygine,Create checklists or reminders for hygiene routines.,,,,,,,,,,,,,,,,,,,,,,,,,
Schizophrenia,inability_to feel_pleasure,"Participate in structured, enjoyable group activities.",,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),intrusive_memories,Practice grounding techniques and consult a trauma-focused therapist.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),flashbacks,Avoid known triggers and use breathing techniques to regain control.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),nightmares,Establish a calming bedtime routine and avoid stimulants at night.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),negative_changes,Use journaling or therapy to reframe negative beliefs.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),feeling_of_detachment,Engage in group therapy and reconnect with trusted individuals.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),hypervigilance,Practice mindfulness to reduce heightened alertness.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),avoidance_of_reminders_of_the_trauma,Approach feared activities gradually with therapist support.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),angry_outbrusts,Use anger management strategies like time-outs or exercise.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),sleep_disturbance,Follow a sleep hygiene routine and avoid stressful content before bed.,,,,,,,,,,,,,,,,,,,,,,,,,
Post-Traumatic Stress Disorder (PTSD),difficulty_concentrating,Break tasks into smaller chunks and minimize distractions.,,,,,,,,,,,,,,,,,,,,,,,,,
Obsessive-Compulsive Disorder (OCD),unwanted_thoughts,Use thought-labeling and exposure response prevention therapy.,,,,,,,,,,,,,,,,,,,,,,,,,
